0,1,2,3,4,5
(-92539718370626.61+246772582321670.97j),(-92539718370626.58+246772582321670.8j),(-92539718370626.64+246772582321670.84j),(-92539718370626.62+246772582321670.9j),(-92539718370626.66+246772582321670.84j),(-92539718370626.64+246772582321670.84j)
(-92539718370626.62+246772582321670.88j),(-92539718370626.58+246772582321670.84j),(-92539718370626.61+246772582321670.88j),(-92539718370626.61+246772582321670.88j),(-92539718370626.62+246772582321670.88j),(-92539718370626.61+246772582321670.88j)
(-92539718370626.67+246772582321670.88j),(-92539718370626.64+246772582321670.88j),(-92539718370626.64+246772582321670.97j),(-92539718370626.67+246772582321670.88j),(-92539718370626.66+246772582321670.9j),(-92539718370626.64+246772582321670.94j)
(-92539718370626.62+246772582321670.94j),(-92539718370626.61+246772582321670.88j),(-92539718370626.62+246772582321670.94j),(-92539718370626.61+246772582321670.97j),(-92539718370626.64+246772582321670.88j),(-92539718370626.62+246772582321670.94j)
(-92539718370626.66+246772582321670.94j),(-92539718370626.61+246772582321670.88j),(-92539718370626.66+246772582321670.94j),(-92539718370626.66+246772582321670.94j),(-92539718370626.64+246772582321670.97j),(-92539718370626.66+246772582321670.94j)
(-92539718370626.66+246772582321670.9j),(-92539718370626.62+246772582321670.88j),(-92539718370626.62+246772582321670.97j),(-92539718370626.66+246772582321670.9j),(-92539718370626.66+246772582321670.9j),(-92539718370626.62+246772582321671j)
